------((Feature,Count): Accuracy), Ranked by Highest Accuracy Average on Mainframe Images -----
(('insubstantial', 62), 0.8697604266129032)
(('danger', 1), 0.86972976)
(('contemporary', 7), 0.8688382157142858)
(('looking', 8), 0.8684193699999999)
(('gold', 1), 0.8671333)
(('drink', 1), 0.8667815)
(('retro', 1), 0.8663068)
(('one', 27), 0.8662371103703703)
(('still life', 2), 0.864476135)
(('athlete', 2), 0.8641571299999999)
(('decoration', 17), 0.8630266547058825)
(('shining', 3), 0.8627208)
(('studio', 3), 0.8627048833333334)
(('confidence', 2), 0.861625925)
(('race', 1), 0.8616216)
(('success', 2), 0.860971515)
(('vertical', 2), 0.859809485)
(('hallway', 1), 0.8597001)
(('smoke', 1), 0.859113)
(('closeup', 18), 0.8563247677777777)
(('leisure', 4), 0.8507194725)
(('urban', 4), 0.849131075)
(('silhouette', 16), 0.849110881875)
(('suit', 1), 0.8490977)
(('picture frame', 27), 0.8488516966666667)
(('facial expression', 3), 0.8488244166666666)
(('grey', 37), 0.8486142837837839)
(('element', 12), 0.8484928175000003)
(('figure', 1), 0.84747005)
(('furniture', 1), 0.846994)
(('space', 1), 0.8467303)
(('nature', 30), 0.8465495566666668)
(('shadow', 33), 0.8464020684848486)
(('steel', 15), 0.8459432779999999)
(('vintage', 6), 0.8455638183333334)
(('monochrome', 11), 0.8434642236363636)
(('old', 21), 0.8428401133333335)
(('wall', 29), 0.8422604479310345)
(('church', 1), 0.8415115)
(('square', 12), 0.8397458366666667)
(('hand', 1), 0.8397128)
(('person', 6), 0.8394129516666667)
(('Christmas', 1), 0.8389506)
(('veil', 1), 0.8369397)
(('sketch', 1), 0.83594084)
(('serious', 1), 0.83450794)
(('lid', 4), 0.8338620775000001)
(('cabinet', 1), 0.83379555)
(('modern', 8), 0.8331985824999999)
(('luxury', 16), 0.8324533706250001)
(('Earth surface', 1), 0.83233756)
(('action energy', 4), 0.83179845)
(('action', 2), 0.83057358)
(('skill', 1), 0.83021927)
(('blank', 7), 0.8238378257142858)
(('table', 2), 0.82293865)
(('ghost', 2), 0.8227169249999999)
(('bright', 1), 0.82120806)
(('stage', 5), 0.8211160999999999)
(('rough', 3), 0.8196895300000001)
(('door', 3), 0.8193098133333333)
(('character', 1), 0.8191158)
(('summer', 1), 0.81684256)
(('reflection', 10), 0.816260325)
(('spotlight', 1), 0.8157635)
(('daylight', 2), 0.8143071500000001)
(('smooth', 2), 0.81183275)
(('travel', 1), 0.8066902)
(('engagement', 1), 0.8061974)
(('close', 1), 0.8049303)
(('medicine', 4), 0.8043220249999999)
(('fear', 2), 0.8033188)
(('stainless steel', 5), 0.803125384)
(('motion', 1), 0.80288374)
(('iron', 14), 0.802653067857143)
(('mystery', 1), 0.79962504)
(('text', 2), 0.79853343)
(('couple', 1), 0.7977384)
(('Halloween', 1), 0.7960384)
(('full moon', 1), 0.79453224)
(('ocean', 2), 0.7901963000000001)
(('back', 2), 0.789067745)
(('wildlife', 3), 0.78868755)
(('logo', 1), 0.7869712)
(('fun', 1), 0.785598)
(('marriage', 1), 0.7831863)
(('fish', 1), 0.78266335)
(('side view', 3), 0.7822063666666667)
(('scarf', 1), 0.7782804)
(('healthcare', 3), 0.7778366333333334)
(('metallic', 5), 0.7736418)
(('empty', 4), 0.7726221499999999)
(('water', 1), 0.7650603)
(('technology', 1), 0.74844754)
(('nude', 1), 0.7445089)
(('communication', 1), 0.74432904)
(('dirty', 1), 0.73941934)
(('wood', 2), 0.7390061299999999)
(('gray', 1), 0.73322654)
(('dawn', 1), 0.72621423)
(('simplicity', 1), 0.70514435)

------Ranked word count of Features on Mainframes Images -----
('desktop', 141)
('abstract', 139)
('art', 135)
('pattern', 124)
('no person', 123)
('design', 121)
('dark', 120)
('background', 116)
('wallpaper', 108)
('people', 107)
('illustration', 79)
('texture', 77)
('light', 77)
('vector', 71)
('insubstantial', 62)
('sky', 61)
